Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
boosterPumpAlarm,boosterPumpXXXXAlarm,Booster Pump Alarm,Booster Pump XX Alarm,"boosterPump(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"booster,water,pump,common,alarm","DCWS,DHWS"
boosterPumpAlarmReset,boosterPumpXXXXAlarmReset,Booster Pump Alarm Reset,Booster Pump XX Alarm Reset,"boosterPump(\w{0,4}(?=[A-Z]|$))AlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"booster,water,pump,reset,alarm","DCWS,DHWS"
boosterPumpFault,boosterPumpXXXXFault,Booster Pump Fault,Booster Pump XX Fault,"boosterPump(\w{0,4}(?=[A-Z]|$))Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"booster,water,pump,fault","DCWS,DHWS"
boosterPumpHandMode,boosterPumpXXXXHandMode,Booster Pump Hand/Auto Mode,Booster Pump XX Hand/Auto Mode,"boosterPump(\w{0,4}(?=[A-Z]|$))HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"booster,water,pump,handMode,sensor","DCWS,DHWS"
boosterPumpStatus,boosterPumpXXXXStatus,Booster Pump Status,Booster Pump XX Status,"boosterPump(\w{0,4}(?=[A-Z]|$))Status",Bool,On/Off,On/Off,,,,,,,"booster,water,pump,status,sensor","DCWS,DHWS"
boosterPumpXXXFrequency,,Booster Pump XXX Frequency,,,Number,,,hertz,hertz,1,1,,,,
boosterPumpXXXPowerReal,,Booster Pump XXX Power Real,,,Number,,,kilowatt,kilowatt,1,1,,,,
breaker,breakerXXXX,Breaker Command,Breaker XX Command,"breaker(\d{0,4})",Bool,On/Off,On/Off,,,,,,,"breaker,status,cmd","BRK,LTGE,LTGI,MSC"
breakerAlarm,breakerXXXXAlarm,Breaker Alarm,Breaker XX Alarm,"breaker(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"breaker,common,alarm","BRK,LTGE,LTGI,MSC"
breakerDimLevel,breakerXXXXDimLevel,Breaker Dimming Level Command,Breaker XX Dimming Level Command,"breaker(\d{0,4})DimLevel",Number,,,percent,percent,1,1,,,"breaker,dimming,cmd","BRK,LTGE,LTGI,MSC"
breakerDimLevelFb,breakerXXXXDimLevelFb,Breaker Dimming Level Feedback,Breaker XX Dimming Level Feedback,"breaker(\d{0,4})DimLevelFb",Number,,,percent,percent,1,1,,,"breaker,dimming,sensor","BRK,LTGE,LTGI,MSC"
breakerDimLevelOvr,breakerXXXXDimLevelOvr,Breaker Dimming Level Override,Breaker XX Dimming Level Override,"breaker(\d{0,4})DimLevelOvr",Number,,,percent,percent,1,1,,,"breaker,dimming,ovr","BRK,LTGE,LTGI,MSC"
breakerDimLevelSp,breakerXXXXDimLevelSp,Breaker Dimming Level Setpoint,Breaker XX Dimming Level Setpoint,"breaker(\d{0,4})DimLevelSp",Number,,,percent,percent,1,1,,,"breaker,dimming,sp","BRK,LTGE,LTGI,MSC"
breakerFailDetectAlarm,breakerFailDetectAlarm,Breaker Failure Detected Alarm,Breaker Failure Detected Alarm,breakerFailDetectAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,,
breakerHandMode,breakerXXXXHandMode,Breaker Hand/Auto Mode,Breaker XX Hand/Auto Mode,"breaker(\d{0,4})HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"breaker,handMode,sensor","BRK,LTGE,LTGI,MSC"
breakerLockoutStatus,breakerXXXXLockoutStatus,Breaker Lockout Status,Breaker XX Lockout Status,"breaker(\d{0,4})LockoutStatus",Bool,Alarm/Normal,Alarm/Normal,,,,,,,,
breakerOvr,breakerXXXXOvr,Breaker Override,Breaker XX Override,"breaker(\d{0,4})Ovr",Bool,On/Off,On/Off,,,,,,,"breaker,status,ovr","BRK,LTGE,LTGI,MSC"
breakerRackStatus,breakerXXXXRackStatus,Breaker Rack Status,Breaker XX Rack Status,"breaker(\d{0,4})RackStatus",Bool,,,,,,,,,,
breakerStatus,breakerXXXXStatus,Breaker Status,Breaker XX Status,"breaker(\d{0,4})Status",Bool,On/Off,On/Off,,,,,,,"breaker,status,sensor","BRK,LTGE,LTGI,MSC"
breakerStatusEmergencyPower,,Breaker Status for Emergency Power Source,,,Bool,On/Off,,,,,,,,,
breakerStatusPrimaryUtility,,Breaker Status for the Primary Utility Source,,,Bool,On/Off,,,,,,,,,
breakerTripCount,breakerXXXXTripCount,Breaker Trip Count,Breaker XX Trip Count,"breaker(\d{0,4})TripCount",Number,,,,,0,0,,,,
breakStart,breakStart,Break Start,Break Start,breakStart,Bool,On/Off,On/Off,,,,,,,blacklist,MSC
breakStop,breakStop,Break Stop,Break Stop,breakStop,Bool,On/Off,On/Off,,,,,,,blacklist,MSC
buildingPowerStatus,buildingPowerStatus,Building Power Status,Building Power Status,buildingPowerStatus,Str,,,,,,,,,"building,power,status","GBL,MSC"
buildingPressure,buildingPressureXXXX,Building Pressure,Building Pressure XX,"buildingPressure(\d{0,4})",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,sensor","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureAvg,buildingPressureAvgXXXX,Building Pressure Average,Building Pressure Average XX,"buildingPressureAvg(\d{0,4})",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,avg","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureAvg,buildingPressureAvg,Building Pressure (Average),Building Pressure (Average),buildingPressureAvg,Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,avg,calc","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureDb,buildingPressureXXXXDb,Building Pressure Deadband,Building Pressure XX Deadband,"buildingPressure(\d{0,4})Db",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,deadband,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureHiAlarm,buildingPressureXXXXHiAlarm,Building Pressure High Alarm,Building Pressure XX High Alarm,"buildingPressure(\d{0,4})HiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"building,air,pressure,high,alarm","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureHiSp,buildingPressureXXXXHiSp,Building Pressure High Setpoint,Building Pressure XX High Setpoint,"buildingPressure(\d{0,4})HiSp",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,high,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureLoAlarm,buildingPressureXXXXLoAlarm,Building Pressure Low Alarm,Building Pressure XX Low Alarm,"buildingPressure(\d{0,4})LoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"building,air,pressure,low,alarm","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureLoSp,buildingPressureXXXXLoSp,Building Pressure Low Setpoint,Building Pressure XX Low Setpoint,"buildingPressure(\d{0,4})LoSp",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,low,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureMaxSp,buildingPressureXXXXMaxSp,Building Pressure Max Setpoint,Building Pressure XX Max Setpoint,"buildingPressure(\d{0,4})MaxSp",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,max,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureMinSp,buildingPressureXXXXMinSp,Building Pressure Min Setpoint,Building Pressure XX Min Setpoint,"buildingPressure(\d{0,4})MinSp",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,min,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,ZN,FCU,HP"
buildingPressureSp,buildingPressureXXXXSp,Building Pressure Setpoint,Building Pressure XX Setpoint,"buildingPressure(\d{0,4})Sp",Number,,,inches_of_water,pascal,3,1,,,"building,air,pressure,effective,sp","AHU,ATU,DHU,DOAS,EF,FCU,GBL,HP,MAU,RTU,SMEX,FCU,HP"
busEnergized,busXXXXEnergized,Bus Energized,Bus XX Energized,"bus(\d{0,4})Energized",Bool,,,,,,,,,,
bypassButton,bypassButtonXXXX,Bypass Button Command,Bypass Button XX Command,"bypassButton(\w{0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"bypass,button,cmd","AHU,CRAC,CRAH,DHU,DOAS,LTGE,LTGI"
bypassDamper,bypassDamperXXXX,Bypass Damper Command,Bypass Damper XX Command,"bypassDamper(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"bypass,damper,air,position,cmd","AHU,CRAC,CRAH,DHU,DOAS,MAU,RTU,UV"
bypassDamperFb,bypassDamperXXXXFb,Bypass Damper Feedback,Bypass Damper XX Feedback,"bypassDamper(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"bypass,damper,air,position,sensor","AHU,CRAC,CRAH,DHU,DOAS,MAU,RTU,UV"
bypassDamperOvr,bypassDamperXXXXOvr,Bypass Damper Override,Bypass Damper XX Override,"bypassDamper(\d{0,4})Ovr",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"bypass,damper,air,position,ovr","AHU,CRAC,CRAH,DHU,DOAS,MAU,RTU,UV"
bypassFrequency,,Bypass Frequency,,,Number,,,hertz,hertz,1,1,,,,
bypassMode,bypassMode,Bypass Mode,Bypass Mode,bypassMode,Bool,On/Off,On/Off,,,,,,,"bypass,mode,common,sp","CRAC,CRAH,DHU,DOAS,LTGE,LTGI"
bypassModeTime,bypassModeTime,Bypass Mode Time Remaining,Bypass Mode Time Remaining,bypassModeTime,Number,,,hour,hour,1,1,,,"bypass,mode,time,sensor","CRAC,CRAH,DHU,DOAS,LTGE,LTGI"
bypassModeTimeSp,bypassModeTimeSp,Bypass Mode Time Remaining Setpoint,Bypass Mode Time Remaining Setpoint,bypassModeTimeSp,Number,,,hour,hour,1,1,,,"bypass,mode,time,sp","CRAC,CRAH,DHU,DOAS,LTGE,LTGI"
bypassSwitch,bypassSwitchXXXX,Bypass Switch Command,Bypass Switch XX Command,"bypassSwitch(\w{0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"common,bypass,switch,cmd","CRAC,CRAH,DHU,DOAS,LTGE,LTGI"
bypassValve,bypassValveXXXX,Bypass Valve Command,Bypass Valve XX Command,"bypassValve(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,bypass,valve,position,cmd","BLR,CHX,CLR,CWS,HHX,HWS,WS"
bypassValveFb,bypassValveXXXXFb,Bypass Valve Feedback,Bypass Valve XX Feedback,"bypassValve(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,bypass,valve,position,sensor","BLR,CHX,CLR,CWS,HHX,HWS,WS"
bypassValveOvr,bypassValveXXXXOvr,Bypass Valve Override,Bypass Valve XX Override,"bypassValve(\d{0,4})Ovr",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,bypass,valve,position,ovr","BLR,CHX,CLR,CWS,HHX,HWS,WS"
bypassVoltagePhaseAB,,Bypass Voltage Phase AB,,,Number,,,volt,volt,1,1,,,,
capacitorOverloadAlarm,capacitorOverloadAlarm,Capacitor Overload Alarm,Capacitor Overload Alarm,capacitorOverloadAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"capacitor,overload,alarm",PFC
ceilingFan,ceilingFan,Ceiling Fan Command,Ceiling Fan Command,ceilingFan,Bool,On/Off,On/Off,,,,,,,"ceiling,air,fan,status,cmd",CF
ceilingFanAlarm,ceilingFanAlarm,Ceiling Fan Alarm,Ceiling Fan Alarm,ceilingFanAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"ceiling,air,fan,common,alarm",CF
ceilingFanStatus,ceilingFanStatus,Ceiling Fan Status,Ceiling Fan Status,ceilingFanStatus,Bool,On/Off,On/Off,,,,,,,"ceiling,air,fan,status,sensor",CF
chemicalFeederAlarm,chemicalFeederAlarm,Chemical Feeder Alarm,Chemical Feeder Alarm,chemicalFeederAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,,
chiller,chiller,Chiller Command,Command,chiller,Bool,On/Off,On/Off,,,,,,,"chiller,status,common,cmd",CLR
chillerAlarm,chillerAlarm,Chiller Alarm,Alarm,chillerAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"chiller,common,alarm",CLR
chillerCapacityMaxSp,chillerCapacityMaxSp,Chiller Capacity Max Setpoint,Capacity Max Setpoint,chillerCapacityMaxSp,Number,,,percent,percent,1,1,,,"chiller,demand,max,sp",CLR
chillerCapacityMaxSpOvr,chillerCapacityMaxSpOvr,Chiller Capacity Max Setpoint Override,Capacity Max Setpoint Override,chillerCapacityMaxSpOvr,Number,,,percent,percent,1,1,,,"chiller,demand,max,spOvr",CLR
chillerDemand,chillerDemand,Chiller Percent of Max Output,Percent of Max Output,chillerDemand,Number,,,percent,percent,1,1,,,"chiller,demand,sensor",CLR
chillerEfficiency,chillerEfficiency,Chiller Efficiency of Refrigeration,Efficiency of Refrigeration,chillerEfficiency,Number,,,percent,percent,1,1,,,"chiller,efficiency,sensor",CLR
chillerEnable,chillerEnable,Chiller Enable Command,Enable Command,chillerEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"chiller,enable,cmd",CLR
chillerEnableOvr,chillerEnableOvr,Chiller Enable Override,Enable Override,chillerEnableOvr,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"chiller,enable,ovr",CLR
chillerEnableSp,chillerEnableSp,Chiller Enable Setpoint,Enable Setpoint,chillerEnableSp,Number,,,fahrenheit,celsius,1,1,,,"chiller,enable,sp",CLR
chillerFault,chillerFault,Chiller Fault,Fault,chillerFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"chiller,fault",CLR
chillerHandMode,chillerHandMode,Chiller Hand/Auto Mode,Hand/Auto Mode,chillerHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"chiller,handMode,sensor",CLR
chillerLagEnable,chillerLagEnable,Chiller Lag Enable,Chiller Lag Enable,chillerLagEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"chiller,lag,enable,cmd","CWS,WS"
chillerLagReq,chillerLagReq,Chiller Lag Request,Chiller Lag Request,chillerLagReq,Bool,Request/No Request,Request/No Request,,,,,,,"chiller,lag,request,cmd","CWS,WS"
chillerLead,chillerLead,Chiller Lead,Lead,chillerLead,Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"chiller,lead,sp","CWS,WS"
chillerLeadXor,chillerLeadXor,Chiller Lead Change Over,Lead Change Over,chillerLeadXor,Bool,On/Off,On/Off,,,,,,,"chiller,lead,changeOver,cmd","CWS,WS"
chillerLeadXor,chillerLeadXor,Chiller Lead Change Over,Lead Change Over,chillerLeadXor,Bool,On/Off,On/Off,,,,,,,"chiller,lead,changeOver,common,cmd","CWS,WS"
chillerLeadXorDay,chillerLeadXorDay,Chiller Lead Change Over Day,Chiller Lead Change Over Day,chillerLeadXorDay,Number,,"Sun,Mon,Tue,Wed,Thur,Fri,Sat",day,day,0,0,,,"chiller,lead,changeOver,day,cmd","CWS,WS"
chillerLeadXorHour,chillerLeadXorHour,Chiller Lead Change Over Hour,Chiller Lead Change Over Hour,chillerLeadXorHour,Number,,,hour,hour,0,0,,,"chiller,lead,changeOver,hour,cmd","CWS,WS"
chillerLeadXorRuntimeSp,chillerLeadXorRuntimeSp,Chiller Lead Change Over Runtime Setpoint,Lead Change Over Runtime Setpoint,chillerLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,"CWS,WS"
chillerLoad,chillerLoad,Chiller Actual Energy Production,Actual Energy Production,chillerLoad,Number,,,percent,percent,1,1,,,"chiller,load,sensor",CLR
chillerMaint,chillerMaint,Chiller Maintenance,Maintenance,chillerMaint,Bool,On/Off,On/Off,,,,,,,"chiller,maintenance,cmd",CLR
chillerOvr,chillerOvr,Chiller Override,Override,chillerOvr,Bool,On/Off,On/Off,,,,,,,"chiller,status,ovr",CLR
chillerReq,chillerReq,Chiller Request,Request,chillerReq,Bool,Request/No Request,Request/No Request,,,,,,,"chiller,request,cmd",CLR
chillerRuntime,chillerRuntime,Chiller Runtime,Runtime,chillerRuntime,Number,,,hour,hour,1,1,,,blacklist,CLR
chillerRuntime,chillerRuntime,Chiller Runtime,Runtime,chillerRuntime,Number,,,hour,hour,1,1,,,blacklist,CLR
chillerStage,chillerStageXXXX,Chiller Stage,Stage XX,"chillerStage(\d{0,4})",Bool,On/Off,On/Off,,,,,XX,,"chiller,status,cmd","CLR,CWS,WS"
chillerStageDownDelayOnSp,chillerStageDownDelayOnSp,Chiller Stage Down Delay On Setpoint,Chiller Stage Down Delay On Setpoint,chillerStageDownDelayOnSp,Number,,,minute,minute,0,0,,,"chiller,stageDown,delay,on,sp","CWS,WS"
chillerStageDownSp,chillerStageDownSp,Chiller Stage Down Setpoint,Chiller Stage Down Setpoint,chillerStageDownSp,Number,,,percent,percent,1,1,,,"chiller,stageDown,effective,sp","CWS,WS"
chillerStageOffSp,chillerStageXXXXOffSp,Chiller Stage Off Setpoint,Stage XX Off Setpoint,"chillerStage(\d{0,4})OffSp",Number,,,fahrenheit,celsius,1,1,XX,,"chiller,off,sp",CLR
chillerStageOnSp,chillerStageXXXXOnSp,Chiller Stage On Setpoint,Stage XX On Setpoint,"chillerStage(\d{0,4})OnSp",Number,,,fahrenheit,celsius,1,1,XX,,"chiller,on,sp",CLR
chillerStageUpDelayOnSp,chillerStageUpDelayOnSp,Chiller Stage Up Delay Setpoint,Chiller Stage Up Delay Setpoint,chillerStageUpDelayOnSp,Number,,,minute,minute,0,0,,,"chiller,stageUp,delay,on,sp","CWS,WS"
chillerStageUpSp,chillerStageUpSp,Chiller Stage Up Setpoint,Chiller Stage Up Setpoint,chillerStageUpSp,Number,,,percent,percent,1,1,,,"chiller,stageUp,effective,sp","CWS,WS"
chillerStarts,chillerStarts,Chiller Starts,Starts,chillerStarts,Number,,,,,0,0,,,"chiller,starts,sensor",CLR
chillerStatus,chillerStatus,Chiller Status,Status,chillerStatus,Bool,On/Off,On/Off,,,,,,,"chiller,status,common,sensor",CLR
chillerXorDay,chillerXorDay,Chiller Change Over Day,Chiller Change Over Day,chillerXorDay,Number,,"Sun,Mon,Tue,Wed,Thur,Fri,Sat",day,day,0,0,,,"chiller,changeOver,day,cmd","CWS,WS"
chillerXorHour,chillerXorHour,Chiller Change Over Hour,Chiller Change Over Hour,chillerXorHour,Number,,,hour,hour,0,0,,,"chiller,changeOver,hour,cmd","CWS,WS"
circPump,circPumpXXXX,Circulation Pump Command,Circulation Pump XX Command,"circPump((?:(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"circ,water,pump,status,cmd",BLR
circPump,circPumpXXXX,Circulation Pump Command,Circulation Pump XX Command,"circPump((?:(?!Lead)(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"circ,water,pump,status,cmd",BLR
circPumpAlarm,circPumpXXXXAlarm,Circulation Pump Alarm,Circulation Pump XX Alarm,"circPump(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"circ,water,pump,common,alarm",BLR
circPumpAlarmReset,circPumpXXXXAlarmReset,Circulation Pump Alarm Reset,Circulation Pump XX Alarm Reset,"circPump(\w{0,4}(?=[A-Z]|$))AlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"circ,water,pump,reset,alarm",BLR
circPumpBypass,circPumpXXXXBypass,Circulation Pump Bypass,Circulation Pump XX Bypass,"circPump(\w{0,4}(?=[A-Z]|$))Bypass",Bool,Bypass/Normal,Bypass/Normal,,,,,,,"circ,water,pump,bypass,sensor",BLR
circPumpCurrent,circPumpXXXXCurrent,Circulation Pump Current,Circulation Pump XX Current,"circPump(\w{0,4}(?=[A-Z]|$))Current",Number,,,ampere,ampere,1,1,,N,"circ,water,pump,current,sensor",BLR
circPumpDCVoltage,circPumpXXXXDCVoltage,Circulation Pump DC Voltage,Circulation Pump XX DC Voltage,"circPump(\w{0,4}(?=[A-Z]|$))DCVoltage",Number,,,volt,volt,1,1,,,"circ,water,pump,dcVolt,sensor",BLR
circPumpDelayOffSp,circPumpXXXXDelayOffSp,Circulation Pump Delay Off Setpoint,Circulation Pump XX Delay Off Setpoint,"circPump(\w{0,4}(?=[A-Z]|$))DelayOffSp",Number,,,minute,minute,0,0,,,"circ,water,pump,delay,off,sp",BLR
circPumpDirection,circPumpXXXXDirection,Circulation Pump Direction,Circulation Pump XX Direction,"circPump(\w{0,4}(?=[A-Z]|$))Direction",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"circ,water,pump,direction,cmd",BLR
circPumpDriveAlarm,circPumpXXXXDriveAlarm,Circulation Pump Drive Alarm,Circulation Pump XX Drive Alarm,"circPump(\w{0,4}(?=[A-Z]|$))DriveAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"circ,water,pump,drive,alarm",BLR
circPumpDriveTemp,circPumpXXXXDriveTemp,Circulation Pump Drive Temperature,Circulation Pump XX Drive Temperature,"circPump(\w{0,4}(?=[A-Z]|$))DriveTemp",Number,,,fahrenheit,celsius,1,1,,,"circ,water,pump,driveTemp,sensor",BLR
circPumpEnable,circPumpXXXXEnable,Circulation Pump Enable,Circulation Pump XX Enable,"circPump(\w{0,4}(?=[A-Z]|$))Enable",Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"circ,water,pump,enable,cmd",BLR
circPumpEnableDb,circPumpXXXXEnableDb,Circulation Pump Enable Deadband,Circulation Pump XX Enable Deadband,"circPump(\w{0,4}(?=[A-Z]|$))EnableDb",Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"circ,water,pump,enable,deadband,sp",BLR
circPumpEnableSp,circPumpXXXXEnableSp,Circulation Pump Enable Setpoint,Circulation Pump XX Enable Setpoint,"circPump((?:(?!Lag)\w){0,4}(?=[A-Z]|$))EnableSp",Number,,,fahrenheit,celsius,1,1,,,"circ,water,pump,enable,effective,sp",BLR
circPumpEnergy,circPumpXXXXEnergy,Circulation Pump Energy,Circulation Pump XX Energy,"circPump(\w{0,4}(?=[A-Z]|$))Energy",Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"circ,water,pump,energy,sensor",BLR
circPumpEnteringPressure,circPumpXXXXEnteringPressure,Circulation Pump Entering Pressure,Circulation Pump XX Entering Pressure,"circPump(\w{0,4}(?=[A-Z]|$))EnteringPressure",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"circ,water,pump,entering,pressure,sensor",BLR
circPumpFault,circPumpXXXXFault,Circulation Pump Fault,Circulation Pump XX Fault,"circPump(\w{0,4}(?=[A-Z]|$))Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"circ,water,pump,fault,common",BLR
circPumpFaultCode,circPumpXXXXFaultCode,Circulation Pump Fault Code,Circulation Pump XX Fault Code,"circPump(\w{0,4}(?=[A-Z]|$))FaultCode",Number,,,,,0,0,,,"circ,water,pump,fault,code",BLR
circPumpFaultReset,circPumpXXXXFaultReset,Circulation Pump Fault Reset,Circulation Pump XX Fault Reset,"circPump(\w{0,4}(?=[A-Z]|$))FaultReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"circ,water,pump,fault,reset",BLR
circPumpFrequency,circPumpXXXXFrequency,Circulation Pump Frequency,Circulation Pump XX Frequency,"circPump(\w{0,4}(?=[A-Z]|$))Frequency",Number,,,hertz,hertz,1,1,,,"circ,water,pump,freq,cmd",BLR
circPumpHandMode,circPumpXXXXHandMode,Circulation Pump Hand/Auto Mode,Circulation Pump XX Hand/Auto Mode,"circPump(\w{0,4}(?=[A-Z]|$))HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"circ,water,pump,handMode,sensor",BLR
circPumpLagDisableSp,circPumpXXXXLagDisableSp,Circulation Pump Lag Disable Setpoint,Circulation Pump XX Lag Disable Setpoint,"circPump(\w{0,4}(?=[A-Z]|$))LagDisableSp",Number,,,percent,percent,1,1,,,"circ,water,pump,lag,disable,sp",BLR
circPumpLagEnableSp,circPumpXXXXLagEnableSp,Circulation Pump Lag Enable Setpoint,Circulation Pump XX Lag Enable Setpoint,"circPump(\w{0,4}(?=[A-Z]|$))LagEnableSp",Number,,,percent,percent,1,1,,,"circ,water,pump,lag,enable,sp",BLR
circPumpLagReq,circPumpXXXXLagReq,Circulation Pump Lag Request,Circulation Pump XX Lag Request,"circPump(\w{0,4}(?=[A-Z]|$))LagReq",Bool,Request/No Request,Request/No Request,,,,,,,"circ,water,pump,lag,request,cmd",BLR
circPumpLead,circPumpLead,Circulation Pump Lead,Circulation Pump Lead,circPumpLead,Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"circ,water,pump,lead,sp",BLR
circPumpLeadXor,circPumpLeadXor,Circulation Pump Lead Change Over,Circulation Pump Lead Change Over,circPumpLeadXor,Bool,On/Off,On/Off,,,,,,,"circ,water,pump,lead,changeOver,cmd",BLR
circPumpLeadXorRuntimeSp,circPumpLeadXorRuntimeSp,Circulation Pump Lead Change Over Runtime Setpoint,Circulation Pump Lead Change Over Runtime Setpoint,circPumpLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,BLR
circPumpLeavingPressure,circPumpXXXXLeavingPressure,Circulation Pump Leaving Pressure,Circulation Pump XX Leaving Pressure,"circPump(\w{0,4}(?=[A-Z]|$))LeavingPressure",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"circ,water,pump,leaving,pressure,sensor",BLR
